id,text
0.27502595210174596-2,"मंज़िलों से गुमराह भी कर देते हैं कुछ लोग
हर किसी से रास्ता पूछना अच्छा नहीं होता ।"
0.27502595210174596-4,"You were born with the ability to change someone's life, don't ever waste it. #LifeisStrange #thinking #aboutlastnight #blank"
0.27502595210174596-5,You can succeed best and quickest by helping others to succeed. #Copied #humanfactors
0.27502595210174596-6,@KushalT2803 baba we all love you ...ignore haters :)
0.27502595210174596-7,"1 Followed, 1 Unfollowed me (monitored by http://unfollowspy.com )"
0.27502595210174596-8,@narendramodi
0.27502595210174596-9,"17 Solldiers Got Martyred By Pak Terrorists In #UriAttack. PM Modi, It's Time To Show Your 56 Inch And Give Pak A Fitting Reply.#BurnThePigs"
0.27502595210174596-10,one person followed me and 2 people unfollowed me // automatically checked by
0.27502595210174596-11,Welcome to my new 1 followers and goodbye to 1 unfollowers (FREE stats by http://www.unfollowspy.com )
0.27502595210174596-12,Just the one new follower today found welcome tracked by http://unfollowspy.com 
0.27502595210174596-13,Gained 2 followers and lost 1 (stats by http://unfollowspy.com )
0.27502595210174596-14,Gained 1 followers and lost 1 (stats by http://unfollowspy.com )
0.27502595210174596-15,Latest Stats = 2 Followers and 1 Unfollowers (tracked by http://unfollowspy.com )
0.27502595210174596-16,Startup is not a way to earn money.it's way to change the system to make people life mor easier..money will follow u #StartupIndia #startup
0.27502595210174596-17,5 people unfollowed me today tracked by http://unfollowspy.com 
0.27502595210174596-18,10 people followed me and one person unfollowed me // automatically checked by
0.27502595210174596-19,"He go to bed with a lot of tensions bt wake up with a fresh energy and a new strategy. 
He is called an entrepreneur!
#startup #startuplife"
0.27502595210174596-20,Welcome to my new 2 followers and goodbye to 1 unfollowers (FREE stats by http://www.unfollowspy.com )
0.27502595210174596-21,It takes 20 years to make over night success . #PokemonGO #startup #startuplife
0.27502595210174596-22,"start-up is not a job, it's a life style. #inguin #startup #startuplife #healthcare #onlinepharmacy #buymedicineonline"
0.27502595210174596-23,"With d help of integrated healthcare Eco-system,we can make patients & doctors life easier @Theinguin .#integratedcare #healthcare #health"
0.27502595210174596-24,"A/C to my start-up's life experience, u can't balance personal and professional life in start-up. #inguinexperience #startup #startuplife"
0.27502595210174596-25,Biggest challenge in healthcare is transparency.@Theinguin is going to bring transparency in healthcare. #inguin #healthcare #startup
0.27502595210174596-26,2 people unfollowed me // automatically checked by http://fllwrs.com 
0.27502595210174596-27,Just the one new follower today found welcome tracked by http://unfollowspy.com 
0.27502595210174596-28,I added a video to a @YouTube playlist http://youtu.be/pfVubx91hXM?a  Inguin introduction video
0.27502595210174596-29,"I added a video to a @YouTube playlist http://youtu.be/0jfzN5J19NM?a  ""Life Means Struggle"" Nawazuddin Siddiqui Hindi Inspirational Video |"
0.27502595210174596-30,"If you want to compete existing product, make your product better , cheaper and faster ...#startup #startuplife"
0.27502595210174596-31,"There is nothing called awesome product, if your product is not solving any kind of problem to make  people's life easier. #startup #Inguin"
0.27502595210174596-32,"@DavidVandegrift If your product is more social , people adopt it easily  because it doesn't force to live their comfort zone :)"
0.27502595210174596-33,"BELIEVE IN YOURSELF, BE YOURSELF AND HAVE FUN!!"
0.27502595210174596-34,Check out my developer profile on @HackerEarth
0.27502595210174596-35,"Make your product more social , investors will follow you .... #startup #startupthought #startuplife"
0.27502595210174596-36,There is difference between making money and raising money ...focus on making money instead of raising money #startup #startuplife
